u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
369918522,369918521,0,469044541,tertiary,,,달구벌대로259길,False,,True,153.96060206109524,"LINESTRING (128.5096622 35.8526817, 128.5096977 35.854066)",,,
369918522,6240819868,0,720714971,tertiary,,,성서동로,False,,False,248.23895042624085,"LINESTRING (128.5096622 35.8526817, 128.5124154 35.8526175)",,,
369918530,369918532,0,469046211,secondary,,,성지로,False,,False,64.71285891351724,"LINESTRING (128.5214943 35.8532763, 128.5209947 35.8536943)",,,
369918530,369918518,0,32836585,tertiary,,,새동네로,False,,True,600.5520551602419,"LINESTRING (128.5214943 35.8532763, 128.5212353 35.8527226, 128.5210752 35.8524536, 128.5209954 35.8523613, 128.5208344 35.8523178, 128.518057 35.8523613, 128.5162052 35.8523934, 128.5155799 35.8524042)",,,
369918530,4899623669,0,181224240,tertiary,,,새동네로,False,,False,47.29102708164802,"LINESTRING (128.5214943 35.8532763, 128.5215917 35.8533822, 128.5217274 35.853654)",,,
369918532,369918530,0,469046211,secondary,,,성지로,False,,True,64.71285891351724,"LINESTRING (128.5209947 35.8536943, 128.5214943 35.8532763)",,,
369918532,4899623668,0,469046212,secondary,,,성지로,False,,False,60.465583668043166,"LINESTRING (128.5209947 35.8536943, 128.5210162 35.8542378)",,,
369918532,4634586771,0,"[469045194, 32836586]",residential,,,성지로,False,,"[False, True]",503.1618695631422,"LINESTRING (128.5209947 35.8536943, 128.5180322 35.8537419, 128.5167966 35.853747, 128.5154124 35.8537528)",,,
369918535,4899623693,0,469046213,secondary,,,성지로,False,,False,106.39064750415562,"LINESTRING (128.5211026 35.8570787, 128.5211318 35.8580352)",,,
369918535,4899623681,0,469046213,secondary,,,성지로,False,,True,156.6422690498987,"LINESTRING (128.5211026 35.8570787, 128.5210658 35.8556703)",,,
369918535,4899623680,0,498569996,residential,,,성지로18길,False,,True,52.909558487072125,"LINESTRING (128.5211026 35.8570787, 128.5216629 35.8569366)",,,
369918535,369919166,0,32836588,tertiary,,,선원남로,False,,True,506.64966503126175,"LINESTRING (128.5211026 35.8570787, 128.5180851 35.8571251, 128.5154815 35.8571521)",,,
369918536,4647633114,0,32500426,secondary,,,성서로,False,,False,111.10565887106497,"LINESTRING (128.5074157 35.857316, 128.5073697 35.8563175)",,,
369918536,365395402,0,32500426,secondary,,,성서로,False,,True,195.56017435902808,"LINESTRING (128.5074157 35.857316, 128.5074566 35.8590744)",,,
369918536,4647633101,0,32836588,tertiary,,,선원남로,False,,False,145.59229283922772,"LINESTRING (128.5074157 35.857316, 128.508903 35.8572855, 128.5090307 35.8572829)",,,
